I ~ [A],V_Shunt [V],I_T [A],V_p [V]
-16,-0.0403,-0.0000935,-0.0132
-12,-0.0301,-0.000111,-0.00991
-8,-0.0199,-0.0000996,-0.00657
-4,-0.0099,-0.0000344,-0.00325
4,0.0099,0.000173,0.00333
8,0.02,0.000297,0.00669
12,0.0302,0.000499,0.0101
16,0.0405,0.000697,0.0135
