I ~ [A],V_Shunt [V],I_T [A],V_p [V]
-16,-0.0404,-0.0004645,-0.01382
-12,-0.03032,-0.0004414,-0.01027
-8,-0.01998,-0.0003964,-0.00667
-4,-0.01007,-0.0003337,-0.00314
4,0.01001,0.000217,0.00405
8,0.02023,0.0000378,0.00779
12,0.0302,0.0000998,0.01122
16,0.0402,0.0003805,0.0149
